age,gender,marital_status,occupation,monthly_income,educational_qualifications,family_size,latitude,longitude,pin_code,output,feedback,unnamed:_12,coordinates,area
20,Female,Single,Student,0,Post Graduate,4,12.9766,77.5993,560001,Yes,Positive,Yes,"12.9766,77.5993",Central Bengaluru
24,Female,Single,Student,5000,Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
22,Male,Single,Student,5000,Post Graduate,3,12.9551,77.6593,560017,Yes,Negative ,Yes,"12.9551,77.6593",East Bengaluru
22,Female,Single,Student,0,Graduate,6,12.9473,77.5616,560019,Yes,Positive,Yes,"12.9473,77.5616",Central Bengaluru
22,Male,Single,Student,5000,Post Graduate,4,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
27,Female,Married,Employee,75000,Post Graduate,2,12.9299,77.6848,560103,Yes,Positive,Yes,"12.9299,77.6848",East Bengaluru
22,Male,Single,Student,0,Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Female,Single,Student,0,Post Graduate,3,12.9828,77.6131,560042,Yes,Positive,Yes,"12.9828,77.6131",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,2,12.9766,77.5993,560001,Yes,Positive,Yes,"12.9766,77.5993",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,4,12.9854,77.7081,560048,Yes,Positive,Yes,"12.9854,77.7081",East Bengaluru
22,Female,Single,Student,0,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
23,Male,Single,Student,5000,Post Graduate,2,12.977,77.5773,560009,Yes,Negative ,Yes,"12.977,77.5773",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,5,12.8988,77.5764,560078,Yes,Positive,Yes,"12.8988,77.5764",South Bengaluru
21,Male,Single,Student,0,Graduate,4,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Female,Single,Self Employeed,17500,Post Graduate,5,12.9438,77.5738,560004,Yes,Positive,Yes,"12.9438,77.5738",Central Bengaluru
24,Female,Single,Student,0,Post Graduate,6,12.8893,77.6399,560068,Yes,Positive,Yes,"12.8893,77.6399",East Bengaluru
28,Female,Single,Employee,37500,Post Graduate,2,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
23,Female,Single,Student,0,Graduate,3,12.982,77.6256,560008,Yes,Negative ,Yes,"12.982,77.6256",East Bengaluru
25,Male,Single,Student,0,Graduate,4,12.8988,77.5764,560078,Yes,Negative ,Yes,"12.8988,77.5764",South Bengaluru
21,Female,Single,Student,5000,Post Graduate,1,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
24,Male,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,4,13.0298,77.6047,560032,Yes,Positive,Yes,"13.0298,77.6047",North Bengaluru
22,Female,Single,Student,0,Graduate,4,12.9983,77.6409,560033,Yes,Positive,Yes,"12.9983,77.6409",East Bengaluru
23,Male,Single,Student,0,Graduate,4,12.9925,77.5633,560021,Yes,Positive,Yes,"12.9925,77.5633",Central Bengaluru
21,Male,Single,Student,5000,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive,Yes,"12.9306,77.5434",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,3,12.982,77.6256,560008,Yes,Positive,Yes,"12.982,77.6256",East Bengaluru
22,Female,Single,Student,0,Post Graduate,5,12.9353,77.5585,560050,Yes,Positive,Yes,"12.9353,77.5585",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,3,12.9155,77.5135,560098,Yes,Positive,Yes,"12.9155,77.5135",South Bengaluru
23,Female,Single,Employee,17500,Graduate,3,12.9854,77.7081,560048,Yes,Positive,Yes,"12.9854,77.7081",East Bengaluru
22,Male,Single,Student,5000,Post Graduate,4,13.0019,77.5713,560003,Yes,Positive,Yes,"13.0019,77.5713",North Bengaluru
22,Female,Single,Employee,17500,Graduate,5,12.9698,77.75,560066,Yes,Positive,Yes,"12.9698,77.75",East Bengaluru
22,Male,Single,Student,0,Post Graduate,4,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
25,Male,Married,Employee,75000,Ph.D,4,12.9261,77.6221,560034,Yes,Positive,Yes,"12.9261,77.6221",East Bengaluru
22,Female,Single,Student,17500,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
22,Female,Single,Student,0,Post Graduate,2,12.9119,77.6446,560102,Yes,Positive,Yes,"12.9119,77.6446",East Bengaluru
25,Male,Single,Student,17500,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive,Yes,"12.9306,77.5434",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,5,12.977,77.5773,560009,No,Positive,No,"12.977,77.5773",Central Bengaluru
32,Female,Prefer not to say,House wife,0,Graduate,5,12.982,77.6256,560008,Yes,Negative ,Yes,"12.982,77.6256",East Bengaluru
23,Female,Single,Student,0,Post Graduate,3,12.9438,77.5738,560004,Yes,Positive,Yes,"12.9438,77.5738",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,4,12.8988,77.5764,560078,Yes,Positive,Yes,"12.8988,77.5764",South Bengaluru
30,Male,Married,Self Employeed,75000,Uneducated,4,12.9662,77.6068,560025,Yes,Negative ,Yes,"12.9662,77.6068",Central Bengaluru
23,Male,Single,Student,0,Graduate,3,12.9565,77.5484,560026,Yes,Positive,Yes,"12.9565,77.5484",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,4,12.9925,77.5633,560021,Yes,Positive,Yes,"12.9925,77.5633",Central Bengaluru
22,Female,Single,Student,0,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
22,Male,Single,Student,0,Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
27,Female,Married,Self Employeed,17500,Post Graduate,2,12.9261,77.6221,560034,Yes,Positive,Yes,"12.9261,77.6221",East Bengaluru
24,Female,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,2,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Female,Single,Student,0,Graduate,3,12.982,77.6256,560008,Yes,Negative ,Yes,"12.982,77.6256",East Bengaluru
22,Female,Single,Student,17500,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
23,Female,Single,Student,0,Graduate,5,13.0206,77.6479,560043,Yes,Positive,Yes,"13.0206,77.6479",East Bengaluru
23,Female,Single,Student,0,Post Graduate,2,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Male,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,2,12.9635,77.5821,560002,Yes,Positive,Yes,"12.9635,77.5821",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive,Yes,"12.9306,77.5434",Central Bengaluru
28,Female,Married,Student,0,Graduate,2,13.0067,77.545,560086,Yes,Positive,Yes,"13.0067,77.545",North Bengaluru
22,Female,Single,Student,0,Post Graduate,1,12.8845,77.6036,560076,Yes,Positive,Yes,"12.8845,77.6036",South Bengaluru
24,Female,Single,Student,0,Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
31,Male,Married,Employee,75000,Ph.D,5,12.9119,77.6446,560102,Yes,Positive,Yes,"12.9119,77.6446",East Bengaluru
25,Male,Single,Student,0,Post Graduate,4,13.0067,77.545,560086,Yes,Positive,Yes,"13.0067,77.545",North Bengaluru
23,Male,Single,Student,0,Post Graduate,5,12.8988,77.5764,560078,Yes,Positive,Yes,"12.8988,77.5764",South Bengaluru
22,Male,Single,Student,0,Post Graduate,3,12.8845,77.6036,560076,Yes,Positive,Yes,"12.8845,77.6036",South Bengaluru
23,Male,Single,Student,37500,Post Graduate,1,13.0158,77.539,560096,Yes,Positive,Yes,"13.0158,77.539",North Bengaluru
23,Male,Single,Student,0,Graduate,4,12.9343,77.6044,560029,Yes,Positive,Yes,"12.9343,77.6044",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,2,13.0019,77.5713,560003,Yes,Positive,Yes,"13.0019,77.5713",North Bengaluru
25,Male,Single,Student,0,Post Graduate,6,13.0012,77.5995,560046,Yes,Positive,Yes,"13.0012,77.5995",Central Bengaluru
24,Male,Single,Employee,17500,Graduate,4,12.9442,77.6076,560030,Yes,Positive,Yes,"12.9442,77.6076",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,4,13.0487,77.5923,560024,Yes,Positive,Yes,"13.0487,77.5923",North Bengaluru
23,Female,Single,Student,0,Post Graduate,4,13.0487,77.5923,560024,Yes,Positive,Yes,"13.0487,77.5923",North Bengaluru
24,Female,Married,Employee,75000,Ph.D,4,12.9438,77.5738,560004,Yes,Positive,Yes,"12.9438,77.5738",Central Bengaluru
22,Male,Single,Student,0,Graduate,4,12.9889,77.5741,560020,Yes,Positive,Yes,"12.9889,77.5741",Central Bengaluru
24,Female,Single,Student,17500,Post Graduate,3,12.9335,77.5691,560028,No,Positive,No,"12.9335,77.5691",Central Bengaluru
25,Female,Single,Student,0,Post Graduate,3,12.9766,77.5993,560001,Yes,Positive,Yes,"12.9766,77.5993",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,2,12.8845,77.6036,560076,Yes,Positive,Yes,"12.8845,77.6036",South Bengaluru
26,Male,Single,Student,0,Post Graduate,4,13.0019,77.5713,560003,Yes,Positive,Yes,"13.0019,77.5713",North Bengaluru
24,Female,Single,Student,37500,Post Graduate,3,13.102,77.5864,560064,Yes,Positive,Yes,"13.102,77.5864",Other
26,Male,Single,Student,0,Post Graduate,4,12.9048,77.6821,560036,Yes,Positive,Yes,"12.9048,77.6821",East Bengaluru
21,Male,Single,Student,0,Graduate,4,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
22,Female,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Male,Single,Student,0,Post Graduate,5,12.9337,77.59,560011,Yes,Positive,Yes,"12.9337,77.59",Central Bengaluru
24,Male,Single,Student,17500,Post Graduate,4,12.9037,77.5376,560061,Yes,Positive,Yes,"12.9037,77.5376",South Bengaluru
23,Female,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,3,12.9343,77.6044,560029,Yes,Positive,Yes,"12.9343,77.6044",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,3,12.9438,77.5738,560004,Yes,Positive,Yes,"12.9438,77.5738",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Female,Single,Student,0,Post Graduate,4,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
24,Male,Single,Student,0,Post Graduate,5,12.9337,77.59,560011,Yes,Positive,Yes,"12.9337,77.59",Central Bengaluru
25,Male,Single,Student,0,Graduate,1,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,5,12.977,77.5773,560009,No,Positive,No,"12.977,77.5773",Central Bengaluru
28,Male,Married,Self Employeed,17500,Graduate,2,13.0289,77.54,560022,No,Negative ,No,"13.0289,77.54",North Bengaluru
27,Female,Prefer not to say,Employee,37500,Post Graduate,5,13.0289,77.54,560022,No,Positive,No,"13.0289,77.54",North Bengaluru
26,Male,Single,Self Employeed,17500,Ph.D,1,12.9698,77.75,560066,No,Positive,No,"12.9698,77.75",East Bengaluru
22,Male,Single,Student,0,Post Graduate,2,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Female,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,1,12.9561,77.5921,560027,Yes,Positive,Yes,"12.9561,77.5921",Central Bengaluru
25,Male,Single,Student,0,Graduate,1,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Female,Single,Student,0,Graduate,5,13.0206,77.6479,560043,Yes,Positive,Yes,"13.0206,77.6479",East Bengaluru
23,Female,Single,Student,0,Graduate,5,13.0206,77.6479,560043,Yes,Positive,Yes,"13.0206,77.6479",East Bengaluru
26,Male,Married,Employee,37500,Graduate,5,12.9579,77.6309,560007,No,Positive,No,"12.9579,77.6309",East Bengaluru
32,Female,Married,House wife,0,Uneducated,3,13.014,77.5658,560012,No,Positive,No,"13.014,77.5658",North Bengaluru
24,Female,Single,Student,17500,Post Graduate,3,12.9335,77.5691,560028,No,Positive,No,"12.9335,77.5691",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,2,12.9442,77.6076,560030,Yes,Positive,Yes,"12.9442,77.6076",Central Bengaluru
22,Female,Single,Employee,17500,Graduate,3,12.9698,77.75,560066,Yes,Positive,Yes,"12.9698,77.75",East Bengaluru
24,Female,Single,Student,0,Ph.D,3,12.9438,77.5738,560004,Yes,Positive,Yes,"12.9438,77.5738",Central Bengaluru
26,Male,Single,Employee,37500,Graduate,2,12.9261,77.6221,560034,Yes,Negative ,Yes,"12.9261,77.6221",East Bengaluru
28,Male,Married,Employee,75000,Graduate,3,12.9698,77.75,560066,No,Positive,No,"12.9698,77.75",East Bengaluru
26,Male,Single,Employee,75000,Post Graduate,2,12.9698,77.75,560066,No,Positive,No,"12.9698,77.75",East Bengaluru
25,Male,Single,Student,0,Post Graduate,1,12.9343,77.6044,560029,Yes,Positive,Yes,"12.9343,77.6044",Central Bengaluru
25,Male,Single,Employee,5000,Graduate,2,12.9698,77.75,560066,No,Positive,No,"12.9698,77.75",East Bengaluru
18,Male,Single,Student,0,Graduate,5,12.9635,77.5821,560002,Yes,Positive,Yes,"12.9635,77.5821",Central Bengaluru
21,Male,Single,Student,0,Post Graduate,4,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,1,12.9343,77.6044,560029,Yes,Positive,Yes,"12.9343,77.6044",Central Bengaluru
25,Male,Single,Student,5000,Post Graduate,2,12.9925,77.5633,560021,Yes,Positive,Yes,"12.9925,77.5633",Central Bengaluru
23,Female,Single,Student,0,Graduate,5,13.0206,77.6479,560043,Yes,Positive,Yes,"13.0206,77.6479",East Bengaluru
23,Male,Single,Employee,17500,Post Graduate,2,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
25,Female,Married,Employee,37500,Graduate,4,12.9551,77.6593,560017,No,Negative ,No,"12.9551,77.6593",East Bengaluru
31,Female,Married,House wife,0,School,5,13.0289,77.54,560022,Yes,Positive,Yes,"13.0289,77.54",North Bengaluru
24,Male,Prefer not to say,Self Employeed,75000,Ph.D,2,13.0138,77.5877,560006,No,Positive,No,"13.0138,77.5877",North Bengaluru
32,Female,Married,Employee,37500,Graduate,5,12.9261,77.6221,560034,Yes,Positive,Yes,"12.9261,77.6221",East Bengaluru
25,Male,Single,Employee,37500,Graduate,3,12.9766,77.5993,560001,Yes,Positive,Yes,"12.9766,77.5993",Central Bengaluru
27,Female,Married,Self Employeed,75000,Graduate,5,12.9766,77.5993,560001,No,Positive,No,"12.9766,77.5993",Central Bengaluru
26,Male,Single,Self Employeed,37500,Graduate,3,12.9766,77.5993,560001,Yes,Positive,Yes,"12.9766,77.5993",Central Bengaluru
26,Female,Single,Self Employeed,37500,Post Graduate,3,12.9635,77.5821,560002,Yes,Positive,Yes,"12.9635,77.5821",Central Bengaluru
32,Male,Married,Employee,75000,Ph.D,5,12.9635,77.5821,560002,Yes,Negative ,Yes,"12.9635,77.5821",Central Bengaluru
24,Male,Married,Self Employeed,75000,Ph.D,6,12.9635,77.5821,560002,No,Negative ,No,"12.9635,77.5821",Central Bengaluru
27,Female,Married,Self Employeed,37500,Graduate,3,12.9635,77.5821,560002,Yes,Positive,Yes,"12.9635,77.5821",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,4,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,4,13.0487,77.5923,560024,Yes,Positive,Yes,"13.0487,77.5923",North Bengaluru
28,Male,Married,Employee,75000,Post Graduate,3,13.0019,77.5713,560003,Yes,Positive,Yes,"13.0019,77.5713",North Bengaluru
32,Female,Married,Employee,75000,Graduate,1,13.0019,77.5713,560003,No,Positive,No,"13.0019,77.5713",North Bengaluru
23,Male,Single,Student,0,Post Graduate,2,13.0019,77.5713,560003,Yes,Positive,Yes,"13.0019,77.5713",North Bengaluru
19,Male,Single,Student,0,Graduate,2,13.0019,77.5713,560003,No,Negative ,No,"13.0019,77.5713",North Bengaluru
19,Female,Single,Student,0,Graduate,4,12.9537,77.6176,560047,Yes,Positive,Yes,"12.9537,77.6176",South Bengaluru
27,Female,Married,Employee,37500,Post Graduate,2,12.9698,77.75,560066,No,Positive,No,"12.9698,77.75",East Bengaluru
25,Male,Single,Self Employeed,37500,Graduate,3,12.998,77.6227,560005,Yes,Positive,Yes,"12.998,77.6227",East Bengaluru
33,Male,Married,Employee,75000,Ph.D,5,12.998,77.6227,560005,No,Negative ,No,"12.998,77.6227",East Bengaluru
26,Female,Single,Employee,75000,Graduate,3,12.998,77.6227,560005,Yes,Positive,Yes,"12.998,77.6227",East Bengaluru
22,Female,Single,Student,5000,Post Graduate,4,12.9343,77.6044,560029,Yes,Positive,Yes,"12.9343,77.6044",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,3,13.102,77.5864,560064,No,Positive,No,"13.102,77.5864",Other
22,Female,Single,Student,0,Graduate,3,13.0158,77.539,560096,Yes,Negative ,Yes,"13.0158,77.539",North Bengaluru
25,Male,Married,Employee,37500,Graduate,2,12.998,77.6227,560005,Yes,Positive,Yes,"12.998,77.6227",East Bengaluru
30,Female,Married,House wife,0,School,5,12.998,77.6227,560005,Yes,Positive,Yes,"12.998,77.6227",East Bengaluru
24,Male,Single,Student,0,Post Graduate,3,13.0138,77.5877,560006,No,Negative ,No,"13.0138,77.5877",North Bengaluru
25,Male,Single,Employee,17500,Post Graduate,3,13.0138,77.5877,560006,Yes,Positive,Yes,"13.0138,77.5877",North Bengaluru
23,Male,Single,Student,75000,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Female,Single,Student,0,Post Graduate,4,13.0496,77.4941,560073,Yes,Positive,Yes,"13.0496,77.4941",West Bengaluru
32,Male,Married,Employee,17500,Graduate,4,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
22,Male,Single,Student,0,Post Graduate,4,12.9889,77.5741,560020,Yes,Positive,Yes,"12.9889,77.5741",Central Bengaluru
23,Male,Single,Student,75000,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,4,13.0487,77.5923,560024,Yes,Positive,Yes,"13.0487,77.5923",North Bengaluru
20,Male,Single,Student,0,Graduate,2,12.9579,77.6309,560007,Yes,Positive,Yes,"12.9579,77.6309",East Bengaluru
21,Male,Single,Student,0,Graduate,2,12.9579,77.6309,560007,Yes,Positive,Yes,"12.9579,77.6309",East Bengaluru
24,Female,Married,Self Employeed,17500,Graduate,5,12.9579,77.6309,560007,Yes,Positive,Yes,"12.9579,77.6309",East Bengaluru
23,Female,Single,Student,0,Post Graduate,4,13.0487,77.5923,560024,Yes,Positive,Yes,"13.0487,77.5923",North Bengaluru
25,Male,Single,Employee,37500,Post Graduate,3,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
32,Female,Married,House wife,0,Graduate,3,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
27,Male,Married,Employee,75000,Ph.D,5,12.985,77.5533,560010,No,Negative ,No,"12.985,77.5533",Central Bengaluru
20,Female,Single,Student,0,Graduate,2,12.9337,77.59,560011,Yes,Positive,Yes,"12.9337,77.59",Central Bengaluru
21,Male,Single,Student,0,Graduate,2,12.9337,77.59,560011,Yes,Positive,Yes,"12.9337,77.59",Central Bengaluru
26,Male,Single,Employee,75000,Post Graduate,3,12.9337,77.59,560011,No,Negative ,No,"12.9337,77.59",Central Bengaluru
25,Male,Single,Employee,17500,Graduate,4,13.0166,77.6804,560016,Yes,Positive,Yes,"13.0166,77.6804",East Bengaluru
26,Male,Single,Employee,37500,Post Graduate,3,13.014,77.5658,560012,Yes,Positive,Yes,"13.014,77.5658",North Bengaluru
26,Female,Married,Employee,37500,Graduate,3,13.014,77.5658,560012,Yes,Positive,Yes,"13.014,77.5658",North Bengaluru
27,Male,Single,Employee,75000,Ph.D,4,13.0503,77.5529,560013,No,Positive,No,"13.0503,77.5529",North Bengaluru
27,Female,Single,Student,0,Ph.D,5,13.0503,77.5529,560013,No,Negative ,No,"13.0503,77.5529",North Bengaluru
24,Female,Single,Student,0,Post Graduate,5,12.9883,77.5987,560051,Yes,Positive,Yes,"12.9883,77.5987",Central Bengaluru
25,Male,Married,Self Employeed,75000,School,2,13.0626,77.5284,560015,Yes,Positive,Yes,"13.0626,77.5284",North Bengaluru
20,Male,Single,Student,0,Graduate,2,13.0626,77.5284,560015,No,Negative ,No,"13.0626,77.5284",North Bengaluru
22,Male,Single,Student,0,Post Graduate,1,13.0626,77.5284,560015,Yes,Positive,Yes,"13.0626,77.5284",North Bengaluru
26,Female,Married,Student,5000,Ph.D,3,13.0166,77.6804,560016,Yes,Positive,Yes,"13.0166,77.6804",East Bengaluru
27,Male,Prefer not to say,Employee,37500,Post Graduate,1,13.0166,77.6804,560016,Yes,Positive,Yes,"13.0166,77.6804",East Bengaluru
25,Female,Single,Student,0,Post Graduate,3,12.9551,77.6593,560017,Yes,Positive,Yes,"12.9551,77.6593",East Bengaluru
24,Male,Single,Employee,5000,Graduate,2,12.9551,77.6593,560017,Yes,Positive,Yes,"12.9551,77.6593",East Bengaluru
23,Female,Single,Employee,17500,Graduate,6,12.9551,77.6593,560017,Yes,Positive,Yes,"12.9551,77.6593",East Bengaluru
22,Male,Single,Student,0,Graduate,2,12.957,77.5637,560018,No,Positive,No,"12.957,77.5637",Central Bengaluru
26,Male,Married,Self Employeed,75000,Post Graduate,3,12.957,77.5637,560018,No,Negative ,No,"12.957,77.5637",Central Bengaluru
26,Male,Single,Employee,5000,Post Graduate,1,12.957,77.5637,560018,Yes,Negative ,Yes,"12.957,77.5637",Central Bengaluru
25,Female,Married,Self Employeed,37500,Post Graduate,3,12.957,77.5637,560018,No,Positive,No,"12.957,77.5637",Central Bengaluru
29,Female,Married,Employee,75000,Graduate,3,12.957,77.5637,560018,No,Positive,No,"12.957,77.5637",Central Bengaluru
23,Male,Single,Student,5000,Graduate,3,12.8652,77.524,560109,Yes,Negative ,Yes,"12.8652,77.524",South Bengaluru
22,Female,Single,Employee,37500,Graduate,4,12.9698,77.75,560066,Yes,Positive,Yes,"12.9698,77.75",East Bengaluru
22,Male,Single,Student,0,Graduate,2,12.9889,77.5741,560020,No,Positive,No,"12.9889,77.5741",Central Bengaluru
32,Female,Married,House wife,0,School,5,12.9889,77.5741,560020,Yes,Positive,Yes,"12.9889,77.5741",Central Bengaluru
28,Male,Married,Employee,75000,Post Graduate,1,12.9925,77.5633,560021,Yes,Positive,Yes,"12.9925,77.5633",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,2,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
25,Male,Single,Employee,17500,Graduate,2,12.9757,77.5586,560023,Yes,Positive,Yes,"12.9757,77.5586",Central Bengaluru
26,Female,Married,Employee,37500,Post Graduate,2,12.9757,77.5586,560023,No,Negative ,No,"12.9757,77.5586",Central Bengaluru
31,Male,Married,Self Employeed,75000,School,6,13.0487,77.5923,560024,Yes,Positive,Yes,"13.0487,77.5923",North Bengaluru
24,Male,Single,Student,0,Post Graduate,3,13.0487,77.5923,560024,No,Negative ,No,"13.0487,77.5923",North Bengaluru
24,Male,Single,Employee,37500,Post Graduate,2,12.9662,77.6068,560025,Yes,Positive,Yes,"12.9662,77.6068",Central Bengaluru
31,Female,Married,Employee,75000,Ph.D,5,12.9662,77.6068,560025,Yes,Positive,Yes,"12.9662,77.6068",Central Bengaluru
